Orthogroup	OM037668	BD143114
OG0000000	OM037668.1_00035 hypothetical protein	MK689686.1_00029 hypothetical protein
OG0000001	OM037668.1_00056 hypothetical protein	MK689686.1_00008 hypothetical protein
OG0000002	OM037668.1_00050 hypothetical protein	MK689686.1_00014 hypothetical protein
OG0000003	SDDV_ORF038 Flap endonuclease	MK689686.1_00028 hypothetical protein
OG0000004	OM037668.1_00013 hypothetical protein	MK689686.1_00005 hypothetical protein
OG0000005	OM037668.1_00057 Major capsid protein	MK689686.1_00007 Major capsid protein
OG0000006	OM037668.1_00041 hypothetical protein	MK689686.1_00021 hypothetical protein
OG0000007	OM037668.1_00123 hypothetical protein	MK689686.1_00030 hypothetical protein
OG0000008	OM037668.1_00124 hypothetical protein	MK689686.1_00032 hypothetical protein
OG0000009	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	MK689686.1_00034 DNA-directed RNA polymerase subunit 2
OG0000010	OM037668.1_00098 hypothetical protein	MK689686.1_00056 hypothetical protein
OG0000011	OM037668.1_00009 hypothetical protein	MK689686.1_00062 hypothetical protein
OG0000012	OM037668.1_00090 hypothetical protein	MK689686.1_00084 hypothetical protein
OG0000013	OM037668.1_00084 hypothetical protein	MK689686.1_00088 hypothetical protein
OG0000014	OM037668.1_00073 hypothetical protein	MK689686.1_00105 hypothetical protein
OG0000015	OM037668.1_00078 hypothetical protein	MK689686.1_00120 hypothetical protein
OG0000016	OM037668.1_00004 hypothetical protein	MK689686.1_00121 hypothetical protein
OG0000017	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain
OG0000018	OM037668.1_00021 hypothetical protein	AF371960.1_00078 hypothetical protein
OG0000019	OM037668.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein
OG0000020	OM037668.1_00080 hypothetical protein	MK689686.1_00093 hypothetical protein
OG0000021	OM037668.1_00076 hypothetical protein	MK689686.1_00110 hypothetical protein
OG0000022	OM037668.1_00113 hypothetical protein	MK689686.1_00043 hypothetical protein
OG0000023	OM037668.1_00077 hypothetical protein	MK689686.1_00112 hypothetical protein
OG0000024	OM037668.1_00024 hypothetical protein	MK689686.1_00063 hypothetical protein
OG0000025	OM037668.1_00087 hypothetical protein	MK689686.1_00086 hypothetical protein
OG0000026	OM037668.1_00074 hypothetical protein	MK689686.1_00108 hypothetical protein
OG0000027	OM037668.1_00110 hypothetical protein	MK689686.1_00046 hypothetical protein
OG0000028	SDDV_ORF011 Tripartite motif-containing protein	MK689686.1_00006 hypothetical protein
OG0000029	OM037668.1_00097 hypothetical protein	MK689686.1_00057 hypothetical protein
OG0000030	OM037668.1_00030 hypothetical protein	transmembrane amino acid transporter protein_ref_gen transmembrane amino acid transporter protein
OG0000031	OM037668.1_00031 hypothetical protein	MK689686.1_00002 hypothetical protein
OG0000032	OM037668.1_00005 hypothetical protein	MK689686.1_00013 hypothetical protein
OG0000033	OM037668.1_00047 hypothetical protein	MK689686.1_00017 hypothetical protein
OG0000034	OM037668.1_00046 hypothetical protein	MK689686.1_00018 hypothetical protein
OG0000035	OM037668.1_00045 hypothetical protein	MK689686.1_00019 hypothetical protein
OG0000036	OM037668.1_00040 hypothetical protein	MK689686.1_00022 hypothetical protein
OG0000037	OM037668.1_00106 hypothetical protein	ORF045_ref_gen ORF045
OG0000038	OM037668.1_00105 hypothetical protein	MK689686.1_00049 hypothetical protein
OG0000039	OM037668.1_00100 hypothetical protein	MK689686.1_00054 hypothetical protein
OG0000040	OM037668.1_00099 hypothetical protein	MK689686.1_00055 hypothetical protein
OG0000041	OM037668.1_00096 hypothetical protein	MK689686.1_00059 hypothetical protein
OG0000042	OM037668.1_00020 hypothetical protein	MK689686.1_00076 hypothetical protein
OG0000043	OM037668.1_00019 hypothetical protein	MK689686.1_00079 hypothetical protein
OG0000044	OM037668.1_00018 hypothetical protein	MK689686.1_00080 hypothetical protein
OG0000045	OM037668.1_00130 hypothetical protein	MK689686.1_00081 hypothetical protein
OG0000046	OM037668.1_00086 hypothetical protein	MK689686.1_00087 hypothetical protein
OG0000047	OM037668.1_00081 hypothetical protein	MK689686.1_00092 hypothetical protein
OG0000048	OM037668.1_00032 hypothetical protein	MK689686.1_00094 hypothetical protein
OG0000049	OM037668.1_00033 hypothetical protein	MK689686.1_00097 hypothetical protein
OG0000050	OM037668.1_00075 hypothetical protein	MK689686.1_00109 hypothetical protein
OG0000051	OM037668.1_00079 hypothetical protein	MK689686.1_00114 hypothetical protein
OG0000052	OM037668.1_00091 hypothetical protein	MK689686.1_00118 hypothetical protein
OG0000053	OM037668.1_00051 hypothetical protein	MK689686.1_00012 hypothetical protein
OG0000054	OM037668.1_00048 hypothetical protein	MK689686.1_00023 hypothetical protein
OG0000056	OM037668.1_00083 hypothetical protein	MK689686.1_00089 hypothetical protein
OG0000057	OM037668.1_00082 hypothetical protein	putative RNA binding protein_ref_gen putative RNA binding protein
OG0000058	SDDV_ORF050 RING E3 ubiquitin ligase	MK689686.1_00095 hypothetical protein
OG0000059	OM037668.1_00134 hypothetical protein	MK689686.1_00116 hypothetical protein
OG0000060	OM037668.1_00028 hypothetical protein	MK689686.1_00122 hypothetical protein
OG0000061	OM037668.1_00054 hypothetical protein	MK689686.1_00010 hypothetical protein
OG0000062	OM037668.1_00003 hypothetical protein	MK689686.1_00031 hypothetical protein
OG0000085	OM037668.1_00042 hypothetical protein	ORF018_ref_gen ORF018
OG0000109	OM037668.1_00095 hypothetical protein	DNA-binding protein_ref_gen DNA-binding protein
OG0000114	OM037668.1_00085 hypothetical protein	MK689686.1_00058 hypothetical protein
